embed_modality,fmri_modality,layer,condition,n_subjects,mean_normalized_r,sem,mean_r,p_value,q_value
text,image,23,text_to_image,8,0.041189081437175125,0.010993136127787939,0.029089052704666187,9.999000099990002e-05,0.00012901935612890324
text,image,24,text_to_image,8,0.04176208749841032,0.0110227054849543,0.029498441381037462,9.999000099990002e-05,0.00012901935612890324
text,image,25,text_to_image,8,0.0440658126737016,0.011378597046602087,0.03107400810965305,9.999000099990002e-05,0.00012901935612890324
text,image,26,text_to_image,8,0.043812515165609786,0.011416126711056494,0.030784346297644684,9.999000099990002e-05,0.00012901935612890324
text,image,27,text_to_image,8,0.04497162721146306,0.01102963405276359,0.031659544909894116,9.999000099990002e-05,0.00012901935612890324
text,image,28,text_to_image,8,0.044424901247533996,0.011232282978333313,0.03131292996212243,9.999000099990002e-05,0.00012901935612890324
text,image,29,text_to_image,8,0.04525220165437613,0.011250508565225508,0.03187101134159019,9.999000099990002e-05,0.00012901935612890324
text,image,30,text_to_image,8,0.04339539886478995,0.011235885297241835,0.03062941641119444,9.999000099990002e-05,0.00012901935612890324
text,image,31,text_to_image,8,0.04254128259221067,0.010896678818196047,0.029996300195858465,9.999000099990002e-05,0.00012901935612890324
text,image,32,text_to_image,8,0.0439360243219242,0.01116666820938444,0.031113674977336612,9.999000099990002e-05,0.00012901935612890324
text,text,0,text_to_text,8,0.013950661053950524,0.008081276141124806,0.01014215685519675,9.999000099990002e-05,0.00012901935612890324
text,text,1,text_to_text,8,0.021633650781380964,0.006732813297373515,0.015328008353014838,9.999000099990002e-05,0.00012901935612890324
text,text,2,text_to_text,8,0.02683787085822651,0.009607638460939679,0.019074714459044,9.999000099990002e-05,0.00012901935612890324
text,text,3,text_to_text,8,0.03010085248190011,0.008854393659278936,0.021569471149784976,9.999000099990002e-05,0.00012901935612890324
text,text,4,text_to_text,8,0.029189255562861,0.008462339715845483,0.0207598971241744,9.999000099990002e-05,0.00012901935612890324
text,text,5,text_to_text,8,0.032199547559508386,0.00903603188622955,0.02277301279822995,9.999000099990002e-05,0.00012901935612890324
text,text,6,text_to_text,8,0.030120703314127396,0.008531636886798678,0.021359492470312602,9.999000099990002e-05,0.00012901935612890324
text,text,7,text_to_text,8,0.0322613447210044,0.00859722993942711,0.022877431670491763,9.999000099990002e-05,0.00012901935612890324
text,text,8,text_to_text,8,0.030782387705632176,0.009014634106500337,0.02194450208310459,9.999000099990002e-05,0.00012901935612890324
text,text,9,text_to_text,8,0.031014239664467785,0.008960570913021857,0.02206093477019154,9.999000099990002e-05,0.00012901935612890324
text,text,10,text_to_text,8,0.03155554548595694,0.008879850920955229,0.022400411676175336,9.999000099990002e-05,0.00012901935612890324
text,text,11,text_to_text,8,0.03047297585999616,0.00885357901708324,0.021493396672688063,9.999000099990002e-05,0.00012901935612890324
text,text,12,text_to_text,8,0.03194083928922893,0.009016624279273038,0.022424450152978465,9.999000099990002e-05,0.00012901935612890324
text,text,13,text_to_text,8,0.031312563131242616,0.008894072800127918,0.022160202756781648,9.999000099990002e-05,0.00012901935612890324
text,text,14,text_to_text,8,0.03240993591898892,0.008953699539710694,0.02282317383365195,9.999000099990002e-05,0.00012901935612890324
text,text,15,text_to_text,8,0.03214238186354028,0.008883806297160282,0.02267271661034799,9.999000099990002e-05,0.00012901935612890324
text,text,16,text_to_text,8,0.03105426742122804,0.008697009810554318,0.021841751928006352,9.999000099990002e-05,0.00012901935612890324
text,text,17,text_to_text,8,0.028385785657857175,0.008650695521526799,0.019963487333430525,9.999000099990002e-05,0.00012901935612890324
text,text,18,text_to_text,8,0.02929851226231031,0.0083340485956896,0.020637194613624774,9.999000099990002e-05,0.00012901935612890324
text,text,19,text_to_text,8,0.028498896469935236,0.007236914804432405,0.019936376913614925,9.999000099990002e-05,0.00012901935612890324
text,text,20,text_to_text,8,0.024232907148200276,0.007696328423454266,0.017237290383000464,9.999000099990002e-05,0.00012901935612890324
text,text,21,text_to_text,8,0.025168861734793564,0.007755929529774515,0.01785089220959374,9.999000099990002e-05,0.00012901935612890324
text,text,22,text_to_text,8,0.025108135229079714,0.007650037420463858,0.017876063330334212,9.999000099990002e-05,0.00012901935612890324
text,text,23,text_to_text,8,0.026247875546026277,0.007408404238173665,0.018574212182684825,9.999000099990002e-05,0.00012901935612890324
text,text,24,text_to_text,8,0.02240443833905095,0.0075453643092070885,0.016111461934985187,9.999000099990002e-05,0.00012901935612890324
text,text,25,text_to_text,8,0.022267704019692074,0.0073917788892145925,0.016027528495483265,9.999000099990002e-05,0.00012901935612890324
